description,NhtsaID,Make,Model,Year,State,abs,cruise,crash,mph,mileage,topic,T1,T2,T3,T4,T5,T6,T7,sentiment score
"CONSUMER STATES FIRESTONE TIRE (NO SIZE) EXPERIENCED A LEAK IN THE SIDEWALL ON THE RIGHT FRONT TIRE, CONSUMER IS ANGRY DUE TO GETTING A RUN AROUND FROM HONDA DEALER AND FIRESTONE DEALER, CONSUMER ENDED UP HAVING TO BUY THE TIRE.",560001,HONDA,CIVIC,2001,CA,N,N,N,31,85064.0,T4,3.7455594607640306,0.5256446164852471,6.6476176132120335,10.388826457181647,-2.9905643655008736,0.36190623927349536,-1.6354669423171684,-1.6666666666666667
THE VEHICLE EXPERIENCES EXCESSIVE VIBRATION OF THE FRONT END WHILE DRIVING 50-70 MPH.,561194,HONDA,ACCORD,2001,CA,N,N,N,70,87186.0,T1,1.1172681743992239,0.522442325589729,0.6777487914971212,0.653796381398396,0.9545841090397175,-0.4712847901737226,0.3820748304982861,0.0
"CONSUMER IS NOT HAPPY WITH THE DEALER DURING RECALL REPAIR, DEALER REFUSED RENTAL CAR, WHILE VEHICLE WAS BEING SERVICED.",562006,HONDA,CIVIC,2001,WV,N,N,N,31,81110.0,T1,2.5883947844664728,0.7929200120567126,-0.2297744445390765,-0.22307287222183358,0.05246917009675023,0.7048499847111838,-0.2889172286817214,-0.16666666666666666
"CONSUMER IS NOT HAPPY WITH THE DEALER DURING RECALL REPAIR, DEALER REFUSED A RENTAL CAR, WHILE VEHICLE IS BEING REPAIRED.",562066,HONDA,CIVIC,2001,WV,N,N,N,31,81110.0,T1,2.5519508895816725,1.3417918831821154,-0.3520379559577019,-0.20253833779734043,0.04681906796922436,0.6719227556716766,-0.18996931282344157,-0.16666666666666666
"CONSUMER STATES WHEN HE PROCEEDED TO BACK UP, THE VEHICLE ACCELERATED RAPIDLY CAUSING CONSUMER TO BACK INTO A CEMENT POLE, AFTER CRASHING, CONSUMER PUT VEHICLE INTO DRIVE AND IT ACCELERATED RAPIDLY, WHICH ALS CAUSED HIM TO REAR END A PARKED VEHICLE.",562091,HONDA,ACCORD,2001,PA,N,N,N,24,96792.0,T5,3.7814135909726905,1.3903512834929304,1.1360744306155768,0.7269970803280644,4.048844600953917,-0.5878297999191175,0.23901593378277342,0.0
WHILE DRIVING UP ON ELEVATED ROAD OR SLIGHTLY ELEVATED ROAD AND COMING TO A COMPLETE STOP AND WHEN THE BRAKE IS RELEASED THE VEHICLE ROLLS BACK.,562252,HONDA,CIVIC,2001,NY,N,N,N,31,76260.0,T5,2.115158518176407,-0.22703981017744415,1.1945751688780248,0.39363419341684636,3.54874588646973,0.6505747929413322,-0.6808062689766184,-1.0
"PRIOR TO RECALL NOTIFICATION,(01V182000 & 01V183000) WHILE DRIVING VEHICLE COMPLETELY SHUT DOWN, AFTER THE FACT CONSUMER THEN RECEIVED TWO RECALL NOTICES, FOR THE FUEL PUMP CONNECTOR AND FUEL TANK FILLER CONNECTOR.",562510,HONDA,CIVIC,2001,RI,N,N,N,31,89522.0,T1,2.270594111883105,0.9293056816300301,0.3871761036123858,-0.2953467450837587,-0.5187280180010887,2.2378761520896,1.9103813327340995,0.0
"THE SRS INDICATOR APPEARED IN THE DASH PANEL OF VEHICLE, CONSUMER TOOK VEHICLE TO DEALER AND INFORMED CONUMER THAT THERE WAS A FAULTY AIRBAG SYSTEM, IT TOOK TWO FAILED CONTROL UNITS TO DETERMINE THAT THE PROBLEM WAS THE TWO SENSORS IN THE SYSTEM AND THAT THE PROBLEM WAS RESOLVED.",562516,HONDA,CIVIC,2001,TX,N,N,N,31,90630.0,T1,4.59488324374735,0.6044903716870671,2.1563237797364967,-1.6416773475693038,-0.41665721382563403,0.9441035942434549,-1.787564544329342,-1.0
"DURING A HEAD ON COLLISION WITH A POLE THE DRIVERS SIDE AIR BAG FAILED TO DEPLOY, THE PASSENGER SIDE AIR BAG DID DEPLOY, AS A RESULT OF NONDEPLOYMENT THE DRIVER SUSTAINED HEAD AND NECK INJURIES.",562696,HONDA,CIVIC,2001,IN,N,N,Y,38,87861.0,T3,2.5073033133342713,5.2258252362718185,5.258884657028476,-2.9529813407245946,-0.5769360747117772,-5.713679054428327,0.221807866350071,-2.0
"CONSUMER WAS AT A STOP, AND WAS HIT ON THE DRIVERS FRONT SIDE AND AIR BAGS DID NOT DEPLOY.",562705,HONDA,ACCORD,2001,PA,N,N,N,24,96792.0,T3,1.417288904232868,2.3436635345565855,2.8680828936701213,-1.0978414425072096,0.6779749970088628,-2.5744253615265125,-0.15996429275696777,-1.0
"AFTER STOPPING AT A RED LIGHT, CONSUMER MADE A LEFT HAND TURN SLIGHTLY BUMPING THE CURB, AS CONSUMER TURNED THE CURB THE RATE OF SPEED WAS ABOUT 2-3 MPH, THERE WAS MINIMAL DAMAGE TO VEHICLE, AFTER COMPLETING THE TURN APPROXIMATELY 15 SECONDS LATER THE SIDE PASSENGER AIRBAG DEPLOYED, CONSUMER STATES SHE WAS APPROXIMATELY 10 FEET PASSED THE CURB.",563238,HONDA,ACCORD,2001,TX,N,Y,N,3,92752.0,T1,4.098768335608826,2.440813672282669,3.1873391764002266,-0.5196123991357546,4.070854838016056,-1.7679358636857634,0.6965959740033907,-2.0
"AFTER HAVING VEHICLE SERVICED FOR ITS 7500 MILE CHECK, FROM THAT POINT ON, CONSUMER NOTICED THAT THE LEFT FRONT TIRE NEEDED AIR EACH DAY, VEHICLE WAS TAKEN BACK TO DEALERSHIP AND CONSUMER WAS INFORMED THAT THERE WAS A PLUG IN THE SIDEWALL OF THE TIRE AND IT NEEDED TO BE REPLACED.(MICHELIN MXV4 PLUS)",563522,HONDA,ACCORD,2001,NJ,N,N,N,24,81784.0,T4,4.7259904207941545,0.8786074460298483,4.683659423728292,7.304837501334916,-1.8204553539369082,-0.3191868474327388,-1.8299892638425117,0.0
